feature,importance
TotalCharges,0.17892614886378294
MonthlyCharges,0.17095250944939847
tenure,0.15603546005417576
Contract_Month-to-month,0.06712395289458334
InternetService_Fiber optic,0.032307327788613394
PaymentMethod_Electronic check,0.03192538358708973
Contract_Two year,0.02613798159141696
PaperlessBilling,0.02450675696490967
Partner,0.02269050369015822
OnlineBackup,0.021731012127803546
OnlineSecurity,0.021544067957583533
SeniorCitizen,0.02041904044373985
TechSupport,0.020183652715955836
MultipleLines,0.019649124866815013
DeviceProtection,0.018239006574045057
Dependents,0.0180201509802472
gender_Female,0.017744472343077244
StreamingMovies,0.017563089580439367
StreamingTV,0.01737802639343462
gender_Male,0.01715631239533789
InternetService_No,0.014935724862083584
Contract_One year,0.012833233985612306
PaymentMethod_Credit card (automatic),0.012070542650495958
PaymentMethod_Bank transfer (automatic),0.011757089757121437
InternetService_DSL,0.011107578101613114
PaymentMethod_Mailed check,0.01106976392353013
PhoneService,0.005992085456935794
